group_id,category,subcategory,basis,description,annual_volume,specs
G0133,Mosaic & Decorative Tile,Glass Mosaic,sq_ft,Glass Mosaic - Espresso glass herringbone,1286,material=glass;pattern=herringbone;chip_size=1x3;finish_tile=matte;size_in=11.8x11.8
G0134,Mosaic & Decorative Tile,Stone Mosaic,sq_ft,Stone Mosaic - Havana glass and stone penny round,7108,material=glass and stone;pattern=penny round;chip_size=1x3;finish_tile=polished;size_in=11.8x11.8
G0135,Mosaic & Decorative Tile,Decorative Accent,sq_ft,Decorative Accent - Hillcrest marble subway,2125,material=marble;pattern=subway;chip_size=1x1;finish_tile=polished;size_in=12x12
G0136,Mosaic & Decorative Tile,Decorative Accent,sq_ft,Decorative Accent - Thornbury marble basketweave,4878,material=marble;pattern=basketweave;chip_size=1x1;finish_tile=honed;size_in=12x12
G0137,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Quarry ceramic 4x16,19290,material=ceramic;size_in=4x16;finish_tile=matte;look=solid
G0138,Wall Tile & Backsplash,Porcelain Wall,sq_ft,Porcelain Wall - Umber glass 4x12,12730,material=glass;size_in=4x12;finish_tile=beveled;look=handmade
G0139,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Slate Creek porcelain 3x6,4907,material=porcelain;size_in=3x6;finish_tile=glossy;look=marble
G0140,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Barnwood ceramic 4x16,18832,material=ceramic;size_in=4x16;finish_tile=glossy;look=handmade
G0141,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Sundance glass 3x6,2647,material=glass;size_in=3x6;finish_tile=crackle;look=marble
G0142,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Westbury porcelain 3x6,4459,material=porcelain;size_in=3x6;finish_tile=glossy;look=solid
G0143,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Quarry porcelain 4x16,4030,material=porcelain;size_in=4x16;finish_tile=crackle;look=solid
G0144,Wall Tile & Backsplash,Glass Wall,sq_ft,Glass Wall - Calacatta porcelain 4x16,16545,material=porcelain;size_in=4x16;finish_tile=matte;look=solid
G0145,Carpet & Carpet Tile,Broadloom,sq_ft,Broadloom - Harbor Oak nylon 32,24853,material=nylon;pile_weight_oz=32;backing=cushion;style=loop;size_in=24x24
G0146,Carpet & Carpet Tile,Broadloom,sq_ft,Broadloom - Oakmont polyester 40,24494,material=polyester;pile_weight_oz=40;backing=cushion;style=patterned;size_in=24x24
G0147,Carpet & Carpet Tile,Broadloom,sq_ft,Broadloom - Calacatta nylon 26,4185,material=nylon;pile_weight_oz=26;backing=hard back;style=patterned;size_in=19.7x19.7
G0148,Carpet & Carpet Tile,Broadloom,sq_ft,Broadloom - Umber nylon 26,9858,material=nylon;pile_weight_oz=26;backing=hard back;style=loop;size_in=24x24
G0149,Carpet & Carpet Tile,Carpet Tile,sq_ft,Carpet Tile - Westbury nylon 20,22702,material=nylon;pile_weight_oz=20;backing=hard back;style=patterned;size_in=24x24
G0150,Carpet & Carpet Tile,Carpet Tile,sq_ft,Carpet Tile - Vintage Elm nylon 26,9545,material=nylon;pile_weight_oz=26;backing=hard back;style=patterned;size_in=24x24
G0151,Underlayment,Rubber Underlayment,sq_ft,Rubber Underlayment - Oakmont cork 6,42416,material=cork;thickness_mm=6;moisture_barrier=yes;sound_rating_iic=71;r_value=1.0
G0152,Underlayment,Felt Underlayment,sq_ft,Felt Underlayment - Riverbend cork 2,24022,material=cork;thickness_mm=2;moisture_barrier=yes;sound_rating_iic=50;r_value=1.0
G0153,Underlayment,Felt Underlayment,sq_ft,Felt Underlayment - Sierra felt 6,45473,material=felt;thickness_mm=6;moisture_barrier=yes;sound_rating_iic=50;r_value=0.5
G0154,Underlayment,Foam Underlayment,sq_ft,Foam Underlayment - Zermatt felt 3,70677,material=felt;thickness_mm=3;moisture_barrier=no;sound_rating_iic=71;r_value=1.0
G0155,Underlayment,Felt Underlayment,sq_ft,Felt Underlayment - Yorkshire rubber 6,78432,material=rubber;thickness_mm=6;moisture_barrier=no;sound_rating_iic=71;r_value=1.5
G0156,Underlayment,Foam Underlayment,sq_ft,Foam Underlayment - Tidewater felt 3,66869,material=felt;thickness_mm=3;moisture_barrier=no;sound_rating_iic=71;r_value=1.5
G0157,Underlayment,Cork Underlayment,sq_ft,Cork Underlayment - Saxony felt 6,53775,material=felt;thickness_mm=6;moisture_barrier=no;sound_rating_iic=66;r_value=0.5
G0158,Underlayment,Felt Underlayment,sq_ft,Felt Underlayment - Carrara felt 2,58313,material=felt;thickness_mm=2;moisture_barrier=no;sound_rating_iic=66;r_value=1.0
G0159,Setting Materials,Unmodified Thinset,lb,Unmodified Thinset - Onyx epoxy mortar standard,36746,chemistry=epoxy mortar;grade=standard;color_family=gray;material=cement based
G0160,Setting Materials,Unmodified Thinset,lb,Unmodified Thinset - Greystone epoxy mortar premium,33242,chemistry=epoxy mortar;grade=premium;color_family=gray;material=epoxy
G0161,Setting Materials,Modified Thinset,lb,Modified Thinset - Tidewater epoxy mortar standard,12276,chemistry=epoxy mortar;grade=standard;color_family=gray;material=cement based
G0162,Setting Materials,Modified Thinset,lb,Modified Thinset - Cedar Point large format mortar standard,15613,chemistry=large format mortar;grade=standard;color_family=gray;material=cement based
G0163,Setting Materials,Epoxy Mortar,lb,Epoxy Mortar - Havana epoxy mortar standard,8110,chemistry=epoxy mortar;grade=standard;color_family=white;material=epoxy
G0164,Setting Materials,Unmodified Thinset,lb,Unmodified Thinset - Riverbend unmodified thinset standard,6676,chemistry=unmodified thinset;grade=standard;color_family=gray;material=cement based
G0165,Setting Materials,Epoxy Mortar,lb,Epoxy Mortar - Windsor unmodified thinset standard,35500,chemistry=unmodified thinset;grade=standard;color_family=gray;material=epoxy
G0166,Setting Materials,Epoxy Mortar,lb,Epoxy Mortar - Alabaster modified thinset standard,30822,chemistry=modified thinset;grade=standard;color_family=white;material=cement based
G0167,Grout & Caulk,Sanded Grout,lb,Sanded Grout - Tidewater unsanded 0.5,30679,chemistry=unsanded;joint_width=0.5;color_family=bright white;stain_resistant=yes
G0168,Grout & Caulk,Unsanded Grout,lb,Unsanded Grout - Umber epoxy 0.25,18932,chemistry=epoxy;joint_width=0.25;color_family=charcoal;stain_resistant=no
G0169,Grout & Caulk,Single Component Grout,lb,Single Component Grout - Charcoal single component 0.5,5469,chemistry=single component;joint_width=0.5;color_family=bright white;stain_resistant=no
G0170,Grout & Caulk,Sanded Grout,lb,Sanded Grout - Linen sanded 0.125,10089,chemistry=sanded;joint_width=0.125;color_family=linen;stain_resistant=yes
G0171,Grout & Caulk,Epoxy Grout,lb,Epoxy Grout - Hillcrest epoxy 0.125,34627,chemistry=epoxy;joint_width=0.125;color_family=linen;stain_resistant=no
G0172,Grout & Caulk,Epoxy Grout,lb,Epoxy Grout - Riverbend single component 0.25,25514,chemistry=single component;joint_width=0.25;color_family=charcoal;stain_resistant=no
G0173,Grout & Caulk,Sanded Grout,lb,Sanded Grout - Vintage Elm epoxy 0.125,34872,chemistry=epoxy;joint_width=0.125;color_family=linen;stain_resistant=no
G0174,Grout & Caulk,Single Component Grout,lb,Single Component Grout - Fieldstone sanded 0.125,31626,chemistry=sanded;joint_width=0.125;color_family=charcoal;stain_resistant=no
G0175,Trim & Moulding,T-Molding,lin_ft,T-Molding - Westbury quarter round aluminum,26252,profile=quarter round;material_trim=aluminum;length_ft=8.0;finish=matte
G0176,Trim & Moulding,Stair Nose,lin_ft,Stair Nose - Willow Bend quarter round wood,28228,profile=quarter round;material_trim=wood;length_ft=6.5;finish=matte
G0177,Trim & Moulding,Threshold,lin_ft,Threshold - Sierra quarter round wood,4737,profile=quarter round;material_trim=wood;length_ft=6.5;finish=matte
G0178,Trim & Moulding,Quarter Round,lin_ft,Quarter Round - Hillcrest threshold MDF,17161,profile=threshold;material_trim=MDF;length_ft=6.5;finish=embossed
G0179,Trim & Moulding,Reducer,lin_ft,Reducer - Pembroke T-molding vinyl,5654,profile=T-molding;material_trim=vinyl;length_ft=8.0;finish=smooth
G0180,Trim & Moulding,Baseboard,lin_ft,Baseboard - Cedar Point T-molding aluminum,19646,profile=T-molding;material_trim=aluminum;length_ft=6.5;finish=smooth
G0181,Trim & Moulding,Quarter Round,lin_ft,Quarter Round - Maplewood reducer wood,25521,profile=reducer;material_trim=wood;length_ft=6.5;finish=smooth
G0182,Trim & Moulding,Stair Nose,lin_ft,Stair Nose - Marbella T-molding vinyl,3260,profile=T-molding;material_trim=vinyl;length_ft=7.5;finish=embossed
G0183,Trim & Moulding,Baseboard,lin_ft,Baseboard - Granite Peak quarter round MDF,28601,profile=quarter round;material_trim=MDF;length_ft=6.5;finish=embossed
G0184,Trim & Moulding,Baseboard,lin_ft,Baseboard - Slate Creek T-molding wood,16519,profile=T-molding;material_trim=wood;length_ft=8.0;finish=matte
G0185,Tile Trim & Edging,Edge Profile,lin_ft,Edge Profile - Riverbend bullnose brushed brass,8453,profile=bullnose;material_trim=brushed brass;height_mm=8;length_ft=8.0
G0186,Tile Trim & Edging,Stair Nose Profile,lin_ft,Stair Nose Profile - Maplewood bullnose stainless steel,8868,profile=bullnose;material_trim=stainless steel;height_mm=8;length_ft=8.5
G0187,Tile Trim & Edging,Edge Profile,lin_ft,Edge Profile - Juniper bullnose PVC,7716,profile=bullnose;material_trim=PVC;height_mm=10;length_ft=8.5
G0188,Tile Trim & Edging,Transition Profile,lin_ft,Transition Profile - Calacatta square edge stainless steel,7478,profile=square edge;material_trim=stainless steel;height_mm=12.5;length_ft=8.5
G0189,Tile Trim & Edging,Transition Profile,lin_ft,Transition Profile - Saxony square edge stainless steel,3638,profile=square edge;material_trim=stainless steel;height_mm=8;length_ft=8.0
G0190,Tile Trim & Edging,Transition Profile,lin_ft,Transition Profile - Amber Ridge bullnose brushed brass,8438,profile=bullnose;material_trim=brushed brass;height_mm=8;length_ft=8.5
G0191,Installation Tools,Hand Tool,each,Hand Tool - Fieldstone knee pads manual,1209,tool_type=knee pads;power=manual;capacity=36;material=aluminum
G0192,Installation Tools,Snap Cutter,each,Snap Cutter - Bergamo mixing paddle manual,189,tool_type=mixing paddle;power=manual;capacity=36;material=aluminum
G0193,Installation Tools,Wet Saw,each,Wet Saw - Havana mixing paddle electric,1526,tool_type=mixing paddle;power=electric;capacity=36;material=steel
G0194,Installation Tools,Hand Tool,each,Hand Tool - Copperfield leveling clips electric,3378,tool_type=leveling clips;power=electric;capacity=7;material=steel
G0195,Installation Tools,Leveling System,each,Leveling System - Oakmont notched trowel manual,2743,tool_type=notched trowel;power=manual;capacity=36;material=aluminum
G0196,Installation Tools,Hand Tool,each,Hand Tool - Willow Bend leveling clips electric,2105,tool_type=leveling clips;power=electric;capacity=10;material=composite
G0197,Vanities & Tops,Double Sink Vanity,each,Double Sink Vanity - Quarry 48 engineered stone top,720,width_in=48;material=engineered stone top;sink=double;finish=natural oak
G0198,Vanities & Tops,Double Sink Vanity,each,Double Sink Vanity - Charcoal 30 quartz top,457,width_in=30;material=quartz top;sink=single;finish=espresso
G0199,Vanities & Tops,Double Sink Vanity,each,Double Sink Vanity - Sundance 48 quartz top,517,width_in=48;material=quartz top;sink=double;finish=grey
G0200,Vanities & Tops,Single Sink Vanity,each,Single Sink Vanity - Amber Ridge 24 engineered stone top,856,width_in=24;material=engineered stone top;sink=single;finish=white
